fbref,name,transfermarkt,url
901c0f97,Manuel Prietl,152317,/manuel-prietl/profil/spieler/152317
614eca9b,Marcel Hartel,189073,/marcel-hartel/profil/spieler/189073
d01bbb6f,Ritsu Doan,358504,/ritsu-doan/profil/spieler/358504
c1242d4e,Stefan Ortega,85941,/stefan-ortega-moreno/profil/spieler/85941
2389cdc2,Matty Cash,425334,/matty-cash/profil/spieler/425334
aed3a70f,Ollie Watkins,324358,/ollie-watkins/profil/spieler/324358
056269d7,Oscar Mingueza,331505,/oscar-mingueza/profil/spieler/331505
0d9b2d31,Pedri,683840,/pedri/profil/spieler/683840
26c54058,Alessandro Tuia,73943,/alessandro-tuia/profil/spieler/73943
658d44be,Daam Foulon,338637,/daam-foulon/profil/spieler/338637
c1d95617,Lorenzo Montipo,241923,/lorenzo-montipo/profil/spieler/241923
f6dfa5b8,Riccardo Improta,163489,/riccardo-improta/profil/spieler/163489
8faf7b3c,Roberto Insigne,200174,/roberto-insigne/profil/spieler/200174
1780bb4a,Aaron Hickey,591949,/aaron-hickey/profil/spieler/591949
53f6306f,Mehdi Zerkane,460654,/mehdi-zerkane/profil/spieler/460654
88c4d190,Jeremy Le Douaron,737781,/jeremy-le-douaron/profil/spieler/737781
35e413f1,Ben White,335721,/ben-white/profil/spieler/335721
6a713852,Robert Sanchez,403151,/robert-sanchez/profil/spieler/403151
5496cc91,Alberto Perea,99559,/alberto-perea/profil/spieler/99559
aa677a35,Alex Fernandez,89733,/alex-fernandez/profil/spieler/89733
db001fa9,Alfonso Espino,311044,/alfonso-espino/profil/spieler/311044
63b0ca6b,Alvaro Negredo,18644,/alvaro-negredo/profil/spieler/18644
72a84002,Fali,252667,/fali/profil/spieler/252667
c4b888df,Isaac Carcelen,254037,/iza-carcelen/profil/spieler/254037
2ceb58ab,Jairo Izquierdo,337946,/jairo-izquierdo/profil/spieler/337946
53520a67,Jens Jonsson,148355,/jens-jonsson/profil/spieler/148355
6c4776b1,Jeremias Ledesma,284342,/jeremias-ledesma/profil/spieler/284342
6f4c734d,Jose Mari,225462,/jose-mari/profil/spieler/225462
b3b62f94,Marcos Mauro Lopez-Gutierrez,247366,/marcos-mauro/profil/spieler/247366
405f267a,Salvi,246204,/salvi-sanchez/profil/spieler/246204
ca3db240,Gabriele Zappa,392569,/gabriele-zappa/profil/spieler/392569
7fac99d4,Razvan Marin,295183,/r%C4%83zvan-marin/profil/spieler/295183
2ccd89a3,Eduard Sobol,206717,/eduard-sobol/profil/spieler/206717
1bd5fc78,Eduardo Henrique,216118,/eduardo-henrique/profil/spieler/216118
f49c4ae9,Junior Messias,449151,/junior-messias/profil/spieler/449151
ea468ea8,Luca Marrone,124769,/luca-marrone/profil/spieler/124769
54ab971f,Salvatore Molina,163582,/salvatore-molina/profil/spieler/163582
1db295e5,Vladimir Golemic,169841,/vladimir-golemic/profil/spieler/169841
ae4fc6a4,Eberechi Eze,479999,/eberechi-eze/profil/spieler/479999
abc06eb3,Anthony Racioppi,395671,/anthony-racioppi/profil/spieler/395671
3043d33f,Bersant Celina,229695,/bersant-celina/profil/spieler/229695
95bb6ddc,Eric Junior Dina Ebimbe,536482,/eric-ebimbe/profil/spieler/536482
6c8ddd52,Sacha Boey,475413,/sacha-boey/profil/spieler/475413
57d88cf9,Jude Bellingham,581678,/jude-bellingham/profil/spieler/581678
88968486,Illia Zabarnyi,659089,/ilya-zabarnyi/profil/spieler/659089
c966fce1,Quique,79352,/quique-gonzalez/profil/spieler/79352
e4346678,Edgar Badia,102146,/edgar-badia/profil/spieler/102146
eb82b6f1,Fidel,149231,/fidel/profil/spieler/149231
1c2c55fc,Gonzalo Verdu,184779,/gonzalo-verdu/profil/spieler/184779
b14f755d,Ivan Marcone,90451,/ivan-marcone/profil/spieler/90451
5b28b2f6,Josan,277533,/josan/profil/spieler/277533
ed3f5f4c,Josema,255892,/josema/profil/spieler/255892
0b2c8585,Raul Guti,330352,/raul-guti/profil/spieler/330352
004d185e,Tete Morente,339816,/tete-morente/profil/spieler/339816
289601e6,Antonee Robinson,349701,/antonee-robinson/profil/spieler/349701
803ae100,Harrison Reed,226973,/harrison-reed/profil/spieler/226973
c81d773d,Tosin Adarabioyo,258878,/tosin-adarabioyo/profil/spieler/258878
57469b2d,Eldor Shomurodov,358166,/eldor-shomurodov/profil/spieler/358166
8790f988,Gianluca Scamacca,315867,/gianluca-scamacca/profil/spieler/315867
7ba1f1ef,Lennart Marten Czyborra,309393,/lennart-czyborra/profil/spieler/309393
039ae103,Ruben Yanez,246335,/ruben-yanez/profil/spieler/246335
eeba07f8,Luis Javier Suarez,424784,/luis-suarez/profil/spieler/424784
19c36442,Luis Milla,281989,/luis-milla/profil/spieler/281989
bf356094,Ebrima Colley,567217,/ebrima-colley/profil/spieler/567217
bb376bed,Ivan Ilic,470794,/ivan-ilic/profil/spieler/470794
f5ae006d,Klauss,498862,/joao-klauss/profil/spieler/498862
f127d782,Alvaro Fernandez,453704,/alvaro-fernandez/profil/spieler/453704
a62b4888,Jaime Seoane,340867,/jaime-seoane/profil/spieler/340867
bbf5c11b,Rafa Mir,361254,/rafa-mir/profil/spieler/361254
ed140063,Deniz Turuc,216662,/deniz-turuc/profil/spieler/216662
62c7067a,Dimitris Limnios,324344,/dimitrios-limnios/profil/spieler/324344
0b7dae21,Sava Cestic,464906,/sava-arangel-cestic/profil/spieler/464906
a9be27f2,Kaio Pantaleao,523363,/kaio/profil/spieler/523363
fdf4b948,Jean Daniel Akpa Akpro,170481,/jean-daniel-akpa-akpro/profil/spieler/170481
1a7fcf39,Ezgjan Alioski,129604,/ezgjan-alioski/profil/spieler/129604
6b625ac2,Illan Meslier,542586,/illan-meslier/profil/spieler/542586
aa849a12,Jack Harrison,417346,/jack-harrison/profil/spieler/417346
4f565d77,Kalvin Phillips,351749,/kalvin-phillips/profil/spieler/351749
dc64b8b3,Liam Cooper,75067,/liam-cooper/profil/spieler/75067
420d7c7d,Luke Ayling,67420,/luke-ayling/profil/spieler/67420
282679b4,Mateusz Klich,92738,/mateusz-klich/profil/spieler/92738
f4d296e4,Pascal Struijk,410708,/pascal-struijk/profil/spieler/410708
93feac6e,Patrick Bamford,183334,/patrick-bamford/profil/spieler/183334
67ca8566,Stuart Dallas,158764,/stuart-dallas/profil/spieler/158764
bf4c41f9,Arnaud Kalimuendo,585959,/arnaud-kalimuendo/profil/spieler/585959
ce4f40c7,Cheick Doucoure,543387,/cheick-doucoure/profil/spieler/543387
6f5ec8bb,Facundo Medina,474800,/facundo-medina/profil/spieler/474800
7a42d0df,Florian Sotoca,354726,/florian-sotoca/profil/spieler/354726
62e02107,Ismaelben Boura,770895,/ismael-boura/profil/spieler/770895
edbe46dc,Jean-Louis Leca,27490,/jean-louis-leca/profil/spieler/27490
5219ab4a,Jonathan Clauss,175639,/jonathan-clauss/profil/spieler/175639
114bbdee,Loic Bade,730581,/loic-bade/profil/spieler/730581
be47b750,Simon Banza,344869,/simon-banza/profil/spieler/344869
0e5ddc7c,Dani Gomez,422460,/dani-gomez/profil/spieler/422460
bbc19252,Mickael Malsa,205569,/mickael-malsa/profil/spieler/205569
037dbd30,Son,349856,/sontm/profil/spieler/349856
165a2e40,Burak Yilmaz,34987,/burak-yilmaz/profil/spieler/34987
ccce7025,Sven Botman,361093,/sven-botman/profil/spieler/361093
833a8fbc,Dmitri Zhivoglyadov,178335,/dmitri-zhivoglyadov/profil/spieler/178335
4a987ffa,Adrian Grbic,167342,/adrian-grbic/profil/spieler/167342
49136c42,Andrew Gravillon,395083,/andreaw-gravillon/profil/spieler/395083
6f806d99,Enzo Le Fee,633992,/enzo-le-fee/profil/spieler/633992
