,match_stats_key,match_id,possession_x,possession_y,fouls_x,fouls_y,corners_x,corners_y,crosses_x,crosses_y,touches_x,touches_y,tackles_x,tackles_y,interceptions_x,interceptions_y,aerials_won_x,aerials_won_y,clearances_x,clearances_y,offsides_x,offsides_y,goal_kicks_x,goal_kicks_y,throw_ins_x,throw_ins_y,long_balls_x,long_balls_y
1886,1886,7fe3382b,0.74,0.26,6.0,17.0,8.0,4.0,19.0,6.0,1081.0,451.0,12.0,15.0,7.0,13.0,15.0,7.0,21.0,44.0,1.0,3.0,3.0,6.0,17.0,14.0,83.0,54.0
1887,1887,c5f47ccb,0.46,0.54,14.0,7.0,7.0,3.0,15.0,7.0,576.0,661.0,18.0,16.0,7.0,11.0,39.0,38.0,36.0,27.0,3.0,1.0,5.0,14.0,22.0,32.0,75.0,77.0
1888,1888,e1fdc1f9,0.43,0.57,15.0,24.0,1.0,4.0,10.0,4.0,519.0,650.0,27.0,14.0,6.0,11.0,13.0,9.0,10.0,38.0,3.0,1.0,4.0,10.0,21.0,33.0,68.0,68.0
1889,1889,17a5a8ef,0.65,0.35,8.0,6.0,10.0,3.0,22.0,8.0,721.0,430.0,15.0,13.0,8.0,8.0,17.0,24.0,39.0,32.0,5.0,6.0,4.0,10.0,30.0,17.0,66.0,62.0
1890,1890,db192bf5,0.61,0.39,19.0,11.0,4.0,2.0,13.0,2.0,800.0,574.0,24.0,25.0,7.0,14.0,8.0,6.0,11.0,26.0,2.0,0.0,3.0,7.0,22.0,16.0,56.0,55.0
1891,1891,bf752bf7,0.57,0.43,10.0,18.0,2.0,4.0,10.0,8.0,609.0,488.0,22.0,24.0,8.0,17.0,21.0,21.0,49.0,34.0,3.0,2.0,6.0,6.0,32.0,34.0,58.0,67.0
1892,1892,61cc2ca5,0.52,0.48,8.0,10.0,4.0,3.0,17.0,13.0,652.0,601.0,20.0,17.0,13.0,5.0,15.0,19.0,37.0,41.0,2.0,2.0,10.0,8.0,21.0,28.0,68.0,85.0
1893,1893,d5b1eda9,0.65,0.35,16.0,14.0,5.0,2.0,13.0,8.0,713.0,452.0,20.0,19.0,10.0,3.0,16.0,18.0,11.0,39.0,0.0,1.0,5.0,9.0,22.0,22.0,71.0,59.0
1894,1894,39432697,0.33,0.67,9.0,8.0,4.0,3.0,5.0,18.0,523.0,909.0,18.0,20.0,10.0,7.0,10.0,12.0,34.0,23.0,2.0,2.0,7.0,8.0,13.0,21.0,47.0,49.0
1895,1895,76ce7bd8,0.56,0.44,5.0,19.0,5.0,5.0,15.0,12.0,698.0,569.0,12.0,20.0,7.0,7.0,28.0,40.0,34.0,47.0,0.0,6.0,8.0,11.0,23.0,16.0,59.0,59.0
1896,1896,ffb4946c,0.3,0.7,8.0,12.0,2.0,4.0,4.0,14.0,486.0,981.0,23.0,16.0,10.0,4.0,8.0,9.0,17.0,12.0,1.0,0.0,12.0,4.0,14.0,12.0,51.0,41.0
1897,1897,46697bf6,0.43,0.57,19.0,14.0,3.0,3.0,23.0,6.0,515.0,669.0,26.0,21.0,8.0,3.0,38.0,20.0,18.0,55.0,2.0,2.0,9.0,12.0,22.0,17.0,64.0,51.0
