match_id,team_id,player_id,player_name,nation,age,minutes,shots_against,goals_allowed,saves,xGA,launched_completed,launched_attempted,passes_attempted,throws_attempted,passes_avg_length,gk_attempted,gk_avg_length,crosses_faced,crosses_stopped,defensive_actions,defensive_actions_avg_distance
24be6663,44117292,8b388dd5,Chris Seitz,USA,32.350684931506855,90.0,2.0,1.0,2.0,1.2,1.0,13.0,17.0,2.0,50.2,3.0,58.3,8.0,2.0,0.0,8.0
7a5b3ff3,d076914e,ed6320b7,Steve Clark,USA,33.26027397260274,90.0,1.0,1.0,0.0,0.7,1.0,2.0,14.0,1.0,21.4,4.0,42.8,4.0,0.0,0.0,0.0
7a5b3ff3,46ef01d0,4b1cbf4d,Greg Ranjitsingh,TRI,26.0,90.0,5.0,1.0,4.0,1.8,11.0,38.0,25.0,4.0,52.6,21.0,64.0,30.0,4.0,0.0,12.7
c9e0d90a,d8b46897,7fd42a85,David Bingham,USA,29.74794520547945,90.0,4.0,2.0,3.0,2.2,14.0,26.0,15.0,1.0,60.0,16.0,59.3,2.0,0.0,0.0,12.7
c9e0d90a,81d817a3,7827a6b3,Tyler Miller,USA,26.35342465753425,90.0,8.0,3.0,5.0,1.8,6.0,8.0,22.0,6.0,33.0,3.0,34.0,8.0,1.0,2.0,15.8
14df8548,529ba333,6b33d86b,Eloy Room,CUW,30.449315068493146,90.0,2.0,1.0,1.0,0.5,1.0,9.0,17.0,2.0,34.8,9.0,45.4,8.0,0.0,0.0,10.7
14df8548,fc22273c,69a57596,Evan Bush,USA,33.372602739726034,90.0,4.0,2.0,2.0,1.8,8.0,11.0,21.0,5.0,33.3,12.0,31.2,6.0,0.0,1.0,16.0
af583e10,46024eeb,b3b21a11,Andre Blake,JAM,28.66027397260273,90.0,3.0,0.0,3.0,0.3,4.0,11.0,24.0,5.0,36.4,9.0,34.2,7.0,0.0,0.0,15.3
af583e10,f9940243,e3b198bc,Kenneth Kronholm,GER,33.76438356164383,90.0,3.0,2.0,1.0,1.2,4.0,7.0,15.0,5.0,29.7,7.0,29.4,7.0,1.0,1.0,23.8
9d2dee9a,130f43fa,5480ae05,Quentin Westberg,USA,33.23561643835617,90.0,6.0,3.0,3.0,2.2,0.0,0.0,25.0,1.0,21.0,6.0,26.8,1.0,0.0,3.0,30.4
9d2dee9a,0d885416,8a37dd84,Tyler Deric,USA,30.88767123287672,90.0,4.0,1.0,3.0,1.0,4.0,18.0,17.0,4.0,50.2,10.0,63.5,21.0,4.0,0.0,8.5
f0b91faa,4acb0537,cc741f50,Tim Melia,USA,33.18082191780822,90.0,6.0,2.0,4.0,1.9,2.0,4.0,30.0,7.0,21.6,9.0,33.4,2.0,0.0,1.0,20.8
f0b91faa,15cf8f40,203a7651,Jesse Gonzalez,MEX,24.153424657534245,90.0,2.0,0.0,2.0,0.6,9.0,19.0,33.0,9.0,36.0,18.0,42.5,12.0,0.0,1.0,12.5
87b05735,415b4465,c444465e,Tim Howard,USA,40.372602739726034,45.0,3.0,1.0,2.0,1.1,6.0,20.0,14.0,3.0,61.0,9.0,71.6,4.0,1.0,0.0,14.8
87b05735,415b4465,c1205184,Clint Irwin,USA,30.301369863013697,45.0,6.0,1.0,5.0,1.0,4.0,19.0,9.0,0.0,76.7,10.0,76.6,6.0,0.0,0.0,9.7
87b05735,64e81410,c164335e,Sean Johnson,USA,30.136986301369863,90.0,2.0,1.0,2.0,0.1,5.0,9.0,14.0,1.0,39.1,8.0,43.9,3.0,0.0,0.0,21.0
35ebadf1,ab41cb90,ea42e480,Maxime Crépeau,CAN,25.19178082191781,90.0,10.0,3.0,7.0,2.9,9.0,22.0,19.0,3.0,42.3,13.0,55.9,14.0,1.0,0.0,9.0
35ebadf1,ca460650,6904a59a,Mario Daniel Vega,ARG,35.12876712328767,90.0,1.0,1.0,0.0,0.6,5.0,15.0,21.0,1.0,41.3,7.0,48.9,4.0,1.0,0.0,10.0
cbd8f6b3,f7d86a43,cf975d73,Nick Rimando,USA,40.09041095890411,90.0,2.0,1.0,1.0,0.9,6.0,9.0,25.0,4.0,27.4,9.0,49.3,10.0,2.0,0.0,10.7
cbd8f6b3,99ea75a6,c4173f1a,Vito Mannone,ITA,31.383561643835613,90.0,3.0,1.0,2.0,0.5,5.0,16.0,16.0,4.0,41.7,8.0,70.8,16.0,0.0,0.0,13.3
57ded828,1ebc1a5b,d899e3bf,Brad Guzan,USA,34.86301369863013,90.0,3.0,0.0,3.0,0.5,9.0,16.0,26.0,5.0,38.2,6.0,38.7,5.0,0.0,0.0,9.5
57ded828,44117292,012fc030,Bill Hamid,USA,28.65205479452055,90.0,5.0,2.0,3.0,2.5,3.0,22.0,18.0,2.0,53.4,10.0,64.2,13.0,1.0,0.0,5.0
ff4da1d6,e9ea41b2,d9178ea2,Spencer Richey,USA,27.14246575342466,90.0,7.0,2.0,5.0,2.8,2.0,6.0,21.0,6.0,27.6,7.0,36.6,8.0,0.0,2.0,15.0
ff4da1d6,3c079def,4a51ba65,Matt Turner,USA,25.07397260273973,90.0,6.0,0.0,6.0,0.8,5.0,19.0,27.0,9.0,42.3,12.0,46.4,13.0,0.0,0.0,12.8
299d7a8b,46ef01d0,fff21763,Brian Rowe,USA,30.676712328767124,90.0,5.0,1.0,4.0,1.4,4.0,10.0,23.0,5.0,35.3,7.0,42.3,10.0,0.0,2.0,13.7
299d7a8b,69a0fb10,15e6b513,Luis Robles,USA,35.1945205479452,90.0,4.0,0.0,4.0,0.8,5.0,23.0,13.0,4.0,43.6,14.0,69.5,9.0,0.0,0.0,11.5
