match_id,formation_x,formation_y
bf08afe5,4-3-3,3-4-1-2
04e97199,4-2-3-1,3-4-3
7f0ce5a8,3-4-3,4-2-3-1
8e16e25e,3-4-1-2,4-3-3
6d5ec32f,3-4-1-2,3-4-3
89284d44,3-5-2,4-4-2
9f98898e,4-2-3-1,3-4-1-2
d3f72ad8,4-4-2,4-1-4-1
4277ef38,3-4-3,3-4-3
514f4841,4-3-3,4-2-3-1
7da66a35,4-2-3-1,4-3-3
0df18b30,4-3-3,4-2-3-1
f5fce698,4-3-3,3-5-2
ed4d89b1,4-4-2,4-2-3-1
19d0d8e2,3-5-2,4-2-3-1
c63293ce,3-4-1-2,4-3-3
0b5992b6,4-4-2,4-3-3
2f76f57c,4-4-2,4-3-3
225a7e04,4-1-4-1,3-4-1-2
d845de15,4-2-3-1,4-4-2
1d27f2b0,3-5-2,3-4-3
7c3375ca,4-4-2,3-4-3
48f64f89,3-4-1-2,3-4-1-2
bcc3696c,4-4-2,4-4-2
2913dced,3-4-3,4-1-4-1
bca68fcf,3-4-1-2,3-4-3
d5137efd,4-2-2-2,4-1-4-1
efad30c8,4-3-3,4-4-2
01d7ba2c,3-5-2,4-2-3-1
676152c5,3-4-3,3-5-2
1865c701,4-3-3,3-4-3
1537cadc,4-4-2,3-5-2
fd92c675,3-5-2,4-2-3-1
1291f379,4-2-3-1,3-5-2
5b66af66,4-4-2,4-1-4-1
b9fe75df,3-4-3,4-3-3
36036f2c,4-1-4-1,4-4-2
cd02a099,4-3-3,4-2-3-1
624157d4,4-2-3-1,4-3-3
bfb4ca6c,3-4-3,3-4-1-2
bef67c50,3-5-2,3-4-3
dcb113dd,4-2-3-1,4-2-3-1
498da3bf,3-5-2,4-4-2
dd440ca8,4-3-3,4-2-3-1
a3eda320,4-2-3-1,4-1-4-1
ad193f50,4-4-2,3-4-3
05d7d7d8,3-4-3,4-4-2
7bf73dff,4-3-3,4-4-2(d)
13d2ced0,4-3-3,4-3-3
1a786d2e,4-2-3-1,3-4-3
93cbe974,4-4-2,3-5-2
9b0839d1,4-3-3,4-2-3-1
e4264094,4-4-2,3-5-2
543f06fe,3-5-2,4-1-4-1
333579f7,4-1-4-1,4-3-3
d494399a,4-3-3,4-3-3
8b8705c8,4-4-2,4-4-2
8eddb769,4-4-2,4-2-3-1
9da8e360,3-4-3,4-2-3-1
7f6a6b2d,4-2-3-1,3-4-1-2
5f7fefa8,4-3-3,4-3-3
e3ea35d3,4-1-4-1,4-4-2(d)
bbab2659,4-4-2,4-2-2-2
e01f2728,4-3-3,4-5-1
f0d403a7,4-4-2,3-4-3
d9ba65d3,3-5-2,3-4-1-2
611ca4c8,4-1-4-1,4-4-2
2d71c150,4-1-4-1,3-3-2-2
05a8c375,4-2-3-1,4-2-3-1
68b2ba8a,4-3-3,3-4-3
192de586,3-5-2,4-3-2-1
3c44775e,4-3-3,4-2-2-2
9c4f1720,4-4-2,4-2-3-1
96b00eb9,4-3-2-1,4-2-3-1
ab725d34,4-2-3-1,4-4-2
fbbdd6b2,4-3-2-1,4-2-2-2
00328c4a,4-2-2-2,4-3-2-1
4d495618,4-2-3-1,4-3-2-1
509c4a57,4-2-3-1,4-2-3-1
16fe4fac,4-3-3,4-3-2-1
1957ced0,4-3-3,4-2-3-1
4336e7ef,3-5-2,4-2-3-1
c3e88598,4-1-4-1,4-2-3-1
a3d02ead,4-4-2,3-2-1-2-2
bd1b09d2,4-1-4-1,3-2-2-3
2e9e9b3d,4-2-3-1,4-2-3-1
dfc19f6c,3-2-3-2,3-5-2
fca3b92a,4-4-1-1,3-4-3
46d956ee,4-2-3-1,5-3-2
2158228d,4-3-3,4-2-3-1
2ea0f5ef,4-4-2(d),3-2-2-2-1
4edf61e8,4-1-4-1,3-4-1-2
245a034e,4-1-4-1,4-3-3
0109e2f9,4-2-2-2,4-4-2
a4d833f7,4-4-1-1,4-1-4-1
c955366f,3-2-2-2-1,4-1-4-1
35d30fee,4-2-3-1,4-1-4-1
40ca9e78,4-1-4-1,4-2-2-2
c5cdb30a,3-2-3-2,4-2-3-1
90d0f261,4-1-4-1,4-2-2-2
2bd3ce0b,3-4-1-2,4-1-4-1
bfec2515,4-2-3-1,4-3-2-1
5bc9ec11,3-2-2-1-2,4-2-2-2
25b91a32,4-1-4-1,4-2-3-1
2c5a5bed,4-4-2,4-2-3-1
17b39dc8,4-3-3,3-2-2-2-1
2ee18252,4-3-2-1,3-5-2
5470a6be,4-1-4-1,4-2-3-1
3adcdef9,4-1-4-1,4-2-3-1
c3c7027a,4-2-3-1,4-1-4-1
77d6900c,4-2-3-1,5-3-2
605b6da1,4-2-2-2,4-4-2(d)
3777a8b5,4-2-3-1,4-1-4-1
90906274,4-2-3-1,4-1-4-1
cdd2d30f,4-4-2(d),3-1-4-2
15d9bc1b,3-1-4-2,5-3-2
cfba1277,4-4-2(d),4-1-4-1
69f4b9a7,4-2-3-1,4-1-4-1
8cdb2de1,4-2-3-1,4-2-3-1
6c561d38,3-1-4-2,3-4-3
46f641e9,4-2-2-1-1,4-2-2-1-1
7f5680df,4-1-4-1,4-1-4-1
bbc47daf,3-5-2,4-4-2(d)
b8631e1e,4-2-3-1,4-2-2-2
11c5fbc6,4-3-1-2,4-2-3-1
8023d4f5,3-2-2-2-1,5-3-2
fdbf07ac,4-1-4-1,4-1-4-1
0eb89ed8,4-1-4-1,4-2-3-1
50c867b9,3-3-2-2,3-5-2
55dbe02c,4-1-4-1,4-3-2-1
9b5b9f0c,3-1-2-2-2,3-2-2-1-2
e840ca88,3-3-3-1(d),4-1-4-1
6ec96471,4-1-4-1,4-2-3-1
1c00de56,4-1-4-1,4-1-4-1
e3363230,4-2-3-1,3-2-2-1-2
f5982893,4-1-4-1,3-1-4-2
84c45f6e,4-4-1-1,4-3-3
e07fb84a,4-2-3-1,4-2-2-2
605edc51,4-3-3,4-3-1-2
8a1ab771,4-2-2-2,4-1-4-1
16b7b575,4-1-4-1,4-1-4-1
e4c90b24,3-2-2-2-1,3-3-3-1(d)
cbce9c5f,4-1-4-1,4-4-2
6998b126,4-2-2-1-1,3-4-3
a2b5a71f,4-4-2(d),3-2-3-2
09ae74b1,4-4-2,3-3-2-2
95e78da6,4-4-2(d),3-1-4-2
f17a87c2,3-2-1-2-2,3-4-3
1593c53b,3-2-2-1-2,3-2-2-1-2
408f6dc6,4-1-4-1,4-2-2-2
1e678cd2,4-2-3-1,4-4-1-1
a1e1179b,3-1-3-2-1,3-2-2-1-2
375b60fd,4-1-4-1,4-2-2-1-1
c93e3407,3-3-2-2,4-1-4-1
17aa3a1a,3-5-2,4-4-2(d)
c29225cf,4-1-4-1,4-2-2-2
cdadcded,4-4-2(d),4-3-2-1
0909b53d,4-2-3-1,4-3-2-1
3fdf54f5,4-4-2,4-4-2(d)
2fbfcdf0,4-4-1-1,4-1-4-1
56b0ce56,4-1-4-1,3-2-2-2-1
dc45d2c0,4-4-2,4-2-3-1
dca51b78,4-1-4-1,4-4-1-1
80e16d9f,4-2-3-1,4-2-3-1
160d8be8,3-3-2-2,3-2-2-2-1
901aa2bf,3-4-1-2,3-1-2-2-2
cdcf899e,4-2-2-1-1,4-4-1-1
8483dbb6,5-3-2,4-2-3-1
e10ce14b,4-4-2(d),4-4-2(d)
e3cafb23,4-1-4-1,4-1-4-1
8f259109,4-1-4-1,3-4-1-2
e6ab4097,4-2-3-1,3-3-2-2
2c7e942c,3-3-2-2,4-1-4-1
1fda1fe9,3-2-2-2-1,4-2-2-1-1
29f4426a,4-1-4-1,4-2-2-2
338f5362,3-3-2-2,4-4-2(d)
7b202b8b,3-2-2-2-1,3-2-2-2-1
0bee12d0,4-1-4-1,4-2-2-1-1
a7c9f6fe,4-2-2-1-1,3-4-3
07257832,4-2-3-1,4-4-1-1
a805dead,3-1-4-2,4-4-2(d)
4a3e031e,4-4-2(d),4-1-4-1
96db73f0,3-2-2-1-2,4-4-2(d)
