match_id,referee,ar1,ar2,fourth,var
405093b2,Markus Schmidt,Thorben Siewer,Jan Neitzel,Markus Häcker,
b8687e9c,Benjamin Brand,Robert Schröder,Frederick Assmuth,Markus Sinn,
9cdd1a86,Tobias Stieler,Norbert Grudzinski,Sascha Thielert,Johann Pfeifer,
8c117759,Bibiana Steinhaus,Christof Günsch,Rafael Foltyn,Christian Fischer,
4f912929,Harm Osmers,Florian Heft,Thomas Gorniak,Mike Pickel,
78839a33,Guido Winkmann,Christian Bandurski,Arno Blos,Aarne Aarnink,
42f65c02,Robert Kampka,Robert Kempter,Benedikt Kempkes,Dominik Schaal,
2cd5f518,Martin Petersen,Michael Emmer,Tobias Reichel,Marcel Pelgrim,
60678a27,Marco Fritz,Dominik Schaal,Thomas Stein,Alexander Sather,
01024937,Benjamin Cortus,Daniel Schlager,Florian Badstübner,Thomas Gorniak,
df44e8f2,Felix Zwayer,Thorsten Schiffner,Marco Achmüller,Benjamin Brand,
b0ce1c71,Christian Dingert,Tobias Christ,Jan Neitzel,Sven Waschitzki,
710723e0,Manuel Gräfe,Markus Sinn,Arno Blos,Timo Gerach,
07437edc,Daniel Siebert,Lasse Koslowski,Jan Seidel,Rafael Foltyn,
dbb50537,Bastian Dankert,René Rohde,Markus Häcker,Sascha Thielert,
7505aaac,Frank Willenborg,Aarne Aarnink,Holger Henschel,Christian Bandurski,
c214077e,Felix Brych,Mark Borsch,Stefan Lupp,Guido Winkmann,
e5b2ba9b,Benjamin Brand,Robert Schröder,Michael Emmer,Mark Borsch,
5d985e10,Deniz Aytekin,Eduard Beitinger,Marcel Pelgrim,Bibiana Steinhaus,
6469399a,Robert Hartmann,Christian Leicher,Markus Schüller,Florian Badstübner,
0e9f3237,Sören Storks,Thorben Siewer,Sven Waschitzki,Thorsten Schiffner,
e2baa7b5,Robert Kampka,Benedikt Kempkes,Jan Neitzel,Tobias Christ,
3b6845fd,Guido Winkmann,Christian Bandurski,Arno Blos,Frank Willenborg,
04be7e29,Tobias Stieler,Aarne Aarnink,Christian Gittelmann,Guido Kleve,
0dbabba1,Harm Osmers,Florian Heft,Thomas Gorniak,Daniel Schlager,
cd71d99b,Sascha Stegemann,Christian Fischer,Mike Pickel,Christof Günsch,
5674e43c,Sven Jablonski,Holger Henschel,Johann Pfeifer,Stefan Lupp,
9e0a5c20,Benjamin Cortus,Daniel Schlager,Florian Badstübner,Christian Bandurski,
53ba98f7,Patrick Ittrich,Norbert Grudzinski,Sascha Thielert,Florian Heft,
ece63dff,Manuel Gräfe,Markus Sinn,Frederick Assmuth,Christof Günsch,
de11b7e9,Daniel Siebert,Lasse Koslowski,Jan Seidel,Markus Schüller,
bee2d55d,Marco Fritz,Dominik Schaal,Marcel Pelgrim,Martin Thomsen,
e625d868,Tobias Stieler,Matthias Jöllenbeck,Christian Gittelmann,Arno Blos,
f86e7b44,Frank Willenborg,Guido Kleve,Rafael Foltyn,Patrick Alt,
f25c526f,Deniz Aytekin,Christian Dietz,Eduard Beitinger,Frederick Assmuth,
0c29c2ac,Martin Petersen,Michael Emmer,Tobias Reichel,Thomas Gorniak,
8dadcf54,Markus Schmidt,Thorben Siewer,Christof Günsch,Sascha Thielert,
c35d275d,Robert Hartmann,Thomas Stein,Markus Schüller,Martin Thomsen,
d1a1d3ab,Sascha Stegemann,Christian Fischer,Jan Neitzel,Lasse Koslowski,
72136350,Felix Brych,Mark Borsch,Stefan Lupp,Alexander Sather,
07919b8c,Benjamin Brand,Robert Schröder,Frederick Assmuth,Guido Kleve,
b563f5b3,Tobias Stieler,Matthias Jöllenbeck,Christian Gittelmann,Johann Pfeifer,
1c528760,Bastian Dankert,René Rohde,Markus Häcker,Holger Henschel,
9d67b474,Felix Zwayer,Thorsten Schiffner,Marco Achmüller,Timo Gerach,
39771daa,Bastian Dankert,René Rohde,Markus Häcker,Florian Badstübner,
b0a98271,Bibiana Steinhaus,Thomas Stein,Frederick Assmuth,Alexander Sather,
d2a19828,Robert Kampka,Robert Kempter,Benedikt Kempkes,Sven Jablonski,
cc8a3296,Christian Dingert,Tobias Christ,Timo Gerach,Sören Storks,
8b92872c,Guido Winkmann,Christian Bandurski,Arno Blos,Martin Petersen,
d60846c2,Felix Zwayer,Thorsten Schiffner,Marco Achmüller,Thorben Siewer,
d94f8771,Daniel Siebert,Jan Seidel,Jan Neitzel,Tobias Reichel,
836fdd2c,Harm Osmers,Florian Heft,Thomas Gorniak,Eduard Beitinger,
add934f9,Manuel Gräfe,Guido Kleve,Markus Sinn,Martin Petersen,
cd0a8be6,Benjamin Cortus,Daniel Schlager,Florian Badstübner,Michael Emmer,
6c1cec0a,Markus Schmidt,Christof Günsch,Christian Leicher,Jan Seidel,
1f05f4dc,Sascha Stegemann,Mike Pickel,Rafael Foltyn,Bibiana Steinhaus,
e85bc666,Patrick Ittrich,Norbert Grudzinski,Sascha Thielert,Robert Kampka,
f9cede31,Marco Fritz,Dominik Schaal,Marcel Pelgrim,Christian Dingert,
e22599a0,Felix Zwayer,Thorsten Schiffner,Marco Achmüller,Lasse Koslowski,
d95ae846,Felix Brych,Mark Borsch,Stefan Lupp,Johann Pfeifer,
6d8fa818,Sören Storks,Thorben Siewer,Christian Fischer,Tobias Christ,
233dc15c,Frank Willenborg,Aarne Aarnink,Guido Kleve,Markus Sinn,
af5a9fc8,Felix Brych,Mark Borsch,Stefan Lupp,Benedikt Kempkes,
f8483c4d,Manuel Gräfe,Markus Sinn,Frederick Assmuth,Guido Winkmann,
61b89764,Bastian Dankert,René Rohde,Markus Häcker,Markus Schüller,
66692e4a,Sven Jablonski,Holger Henschel,Johann Pfeifer,Norbert Grudzinski,
a8ab74f0,Christian Dingert,Tobias Christ,Timo Gerach,Arno Blos,
40e6578d,Robert Hartmann,Christian Leicher,Thomas Stein,Bibiana Steinhaus,
bc36b10c,Tobias Stieler,Matthias Jöllenbeck,Christian Gittelmann,Robert Kempter,
d55195d6,Deniz Aytekin,Christian Dietz,Eduard Beitinger,Guido Kleve,
a50108d9,Benjamin Brand,Martin Thomsen,Michael Emmer,Jan Seidel,
8d6d49dc,Benjamin Brand,Martin Thomsen,Marco Achmüller,Christian Leicher,
1f72fe5f,Robert Kampka,Robert Kempter,Benedikt Kempkes,Markus Häcker,
4a557fcd,Sascha Stegemann,Christian Fischer,Mike Pickel,Markus Schmidt,
981633aa,Daniel Siebert,Alexander Sather,Jan Seidel,Holger Henschel,
fb6052a5,Martin Petersen,Michael Emmer,Tobias Reichel,Johann Pfeifer,
bf08afe5,Benjamin Cortus,Florian Badstübner,Arno Blos,Jan Neitzel,
04e97199,Patrick Ittrich,Norbert Grudzinski,Sascha Thielert,Timo Gerach,
7f0ce5a8,Harm Osmers,Florian Heft,Sven Waschitzki,Markus Schüller,
8e16e25e,Marco Fritz,Dominik Schaal,Marcel Pelgrim,Aarne Aarnink,
6d5ec32f,Tobias Stieler,Christian Gittelmann,Frederick Assmuth,Christof Günsch,
89284d44,Guido Winkmann,Christian Bandurski,Arno Blos,Sven Jablonski,
9f98898e,Frank Willenborg,Holger Henschel,Jan Neitzel,Patrick Ittrich,
d3f72ad8,Felix Brych,Mark Borsch,Stefan Lupp,Benjamin Cortus,
4277ef38,Robert Hartmann,Christian Leicher,Markus Schüller,Thorben Siewer,
514f4841,Bastian Dankert,René Rohde,Markus Häcker,Martin Petersen,
7da66a35,Deniz Aytekin,Christian Dietz,Eduard Beitinger,Sascha Thielert,
0df18b30,Felix Zwayer,Thorsten Schiffner,Marco Achmüller,Sören Storks,
f5fce698,Manuel Gräfe,Guido Kleve,Markus Sinn,Sascha Stegemann,
ed4d89b1,Tobias Welz,Rafael Foltyn,Martin Thomsen,Manuel Gräfe,
19d0d8e2,Bibiana Steinhaus,Aarne Aarnink,Thomas Stein,Christian Gittelmann,
c63293ce,Markus Schmidt,Frederick Assmuth,Thomas Gorniak,Marco Fritz,
0b5992b6,Sascha Stegemann,Michael Emmer,Mike Pickel,Robert Hartmann,
2f76f57c,Benjamin Cortus,Daniel Schlager,Florian Badstübner,Frank Willenborg,
225a7e04,Christian Dingert,Tobias Christ,Timo Gerach,Markus Häcker,
d845de15,Patrick Ittrich,Norbert Grudzinski,Sascha Thielert,Matthias Jöllenbeck,
1d27f2b0,Daniel Siebert,Lasse Koslowski,Jan Seidel,Arno Blos,
7c3375ca,Deniz Aytekin,Christian Dietz,Eduard Beitinger,Holger Henschel,
48f64f89,Patrick Ittrich,Norbert Grudzinski,Sascha Thielert,René Rohde,
bcc3696c,Sven Jablonski,Christian Fischer,Marcel Pelgrim,Alexander Sather,
2913dced,Harm Osmers,Florian Heft,Thomas Gorniak,Thomas Stein,
bca68fcf,Felix Brych,Mark Borsch,Stefan Lupp,Martin Thomsen,
d5137efd,Sören Storks,Thorben Siewer,Sven Waschitzki,Jan Seidel,
efad30c8,Robert Kampka,Robert Kempter,Benedikt Kempkes,Rafael Foltyn,
01d7ba2c,Manuel Gräfe,Guido Kleve,Markus Sinn,Robert Schröder,
676152c5,Christian Dingert,Tobias Christ,Timo Gerach,Johann Pfeifer,
1865c701,Guido Winkmann,Christian Bandurski,Arno Blos,Martin Petersen,
1537cadc,Tobias Stieler,Christian Gittelmann,Markus Häcker,Sven Jablonski,
fd92c675,Sascha Stegemann,Christian Fischer,Mike Pickel,Guido Winkmann,
1291f379,Tobias Welz,Rafael Foltyn,Christian Leicher,Robert Kempter,
5b66af66,Sören Storks,Christian Dietz,Eduard Beitinger,Thomas Stein,
b9fe75df,Martin Petersen,Tobias Reichel,Jan Neitzel,Markus Schüller,
36036f2c,Benjamin Cortus,Florian Badstübner,Frederick Assmuth,Jan Seidel,
cd02a099,Markus Schmidt,Christof Günsch,Michael Emmer,Christian Bandurski,
624157d4,Frank Willenborg,Aarne Aarnink,Holger Henschel,Thorsten Schiffner,
bfb4ca6c,Marco Fritz,Dominik Schaal,Marcel Pelgrim,Johann Pfeifer,
bef67c50,Patrick Ittrich,Norbert Grudzinski,Sascha Thielert,Benedikt Kempkes,Markus Schmidt
dcb113dd,Marco Fritz,Dominik Schaal,Marcel Pelgrim,Robert Schröder,Martin Petersen
498da3bf,Harm Osmers,Florian Heft,Thomas Gorniak,Mike Pickel,Benjamin Cortus
dd440ca8,Christian Dingert,Tobias Christ,Timo Gerach,Christian Gittelmann,Frank Willenborg
a3eda320,Daniel Siebert,Lasse Koslowski,Jan Seidel,Sören Storks,Sascha Stegemann
ad193f50,Deniz Aytekin,Christian Dietz,Eduard Beitinger,Marco Achmüller,Jochen Drees
05d7d7d8,Tobias Welz,Rafael Foltyn,Martin Thomsen,Markus Schüller,Jochen Drees
7bf73dff,Bastian Dankert,René Rohde,Markus Häcker,Michael Emmer,Wolfgang Stark
13d2ced0,Felix Brych,Mark Borsch,Stefan Lupp,Florian Badstübner,Günter Perl
1a786d2e,Robert Kampka,Benedikt Kempkes,Stefan Lupp,Arno Blos,Jochen Drees
93cbe974,Felix Zwayer,Thorsten Schiffner,Marco Achmüller,Florian Heft,Wolfgang Stark
9b0839d1,Robert Hartmann,Christian Leicher,Markus Schüller,Robert Schröder,Bastian Dankert
e4264094,Marco Fritz,Dominik Schaal,Marcel Pelgrim,Martin Petersen,Christian Dingert
543f06fe,Deniz Aytekin,Christian Dietz,Eduard Beitinger,Thomas Stein,Günter Perl
333579f7,Bibiana Steinhaus,Christof Günsch,Mark Borsch,Christian Bandurski,Patrick Ittrich
d494399a,Daniel Siebert,Lasse Koslowski,Jan Seidel,Rafael Foltyn,Harm Osmers
8b8705c8,Manuel Gräfe,Guido Kleve,Markus Sinn,Sascha Stegemann,Tobias Welz
8eddb769,Sören Storks,Thorben Siewer,Sven Waschitzki,Frederick Assmuth,Guido Winkmann
9da8e360,Frank Willenborg,Aarne Aarnink,Holger Henschel,Marcel Pelgrim,Wolfgang Stark
7f6a6b2d,Guido Winkmann,Christian Bandurski,Arno Blos,Patrick Alt,Robert Kampka
5f7fefa8,Martin Petersen,Michael Emmer,Tobias Reichel,Frederick Assmuth,Marco Fritz
e3ea35d3,Markus Schmidt,Thorben Siewer,Christof Günsch,Markus Schüller,Jochen Drees
bbab2659,Sven Jablonski,Mark Borsch,Johann Pfeifer,Eduard Beitinger,Robert Hartmann
e01f2728,Sascha Stegemann,Christian Fischer,Mike Pickel,Bibiana Steinhaus,Sören Storks
f0d403a7,Bastian Dankert,René Rohde,Markus Häcker,Christian Gittelmann,Daniel Siebert
d9ba65d3,Manuel Gräfe,Guido Kleve,Markus Sinn,Timo Gerach,Günter Perl
611ca4c8,Felix Brych,Stefan Lupp,Marco Achmüller,Tobias Welz,Felix Zwayer
2d71c150,Bastian Dankert,René Rohde,Markus Häcker,Thorsten Schiffner,Sören Storks
05a8c375,Markus Schmidt,Christof Günsch,Frederick Assmuth,Thomas Gorniak,Martin Petersen
68b2ba8a,Patrick Ittrich,Norbert Grudzinski,Sascha Thielert,Benedikt Kempkes,Wolfgang Stark
192de586,Tobias Welz,Rafael Foltyn,Martin Thomsen,Jan Neitzel,Harm Osmers
3c44775e,Felix Brych,Mark Borsch,Stefan Lupp,Daniel Schlager,Günter Perl
9c4f1720,Manuel Gräfe,Guido Kleve,Markus Sinn,Benjamin Cortus,Sören Storks
96b00eb9,Christian Dingert,Tobias Christ,Timo Gerach,Robert Schröder,Felix Zwayer
ab725d34,Daniel Siebert,Lasse Koslowski,Jan Seidel,Markus Schüller,Günter Perl
fbbdd6b2,Deniz Aytekin,Christian Dietz,Eduard Beitinger,Johann Pfeifer,Benjamin Cortus
00328c4a,Felix Zwayer,Thorsten Schiffner,Marco Achmüller,Christof Günsch,Bastian Dankert
4d495618,Sören Storks,Thorben Siewer,Tobias Christ,Eduard Beitinger,Deniz Aytekin
